[ 1920년-2100년 24기 입기 시각 ]
--------------------------------------------------------------------------------------------------------------------------------------------
역법과 연계된 24기 데이터의 특수성 때문에, 반올림 결과 날짜가 바뀌는 경우 날짜 변동 없이 24시 0분으로 표기됩니다. 
이 자료는 최신의 이론, 모델, 상수를 사용하여 계산된 것입니다. 하지만 지구 자전 속도는 예측할 수 없기 때문에, 미래로 갈수록 수 초에서 수분까지 달라질 수 있습니다. 이로 인해 미래의 실제 24기 날짜는 지금 계산과 다를 수 있습니다.

아래 모든 시각 데이터는 현재(2026년 9월 1일) KST(=UTC+9h) 기준이며, 과거 표준자오선 변경이나 써머타임은 고려하지 않음.
--------------------------------------------------------------------------------------------------------------------------------------------

<24기 구분>
 1: 입춘,  2: 우수,  3: 경칩,  4: 춘분,  5: 청명,  6: 곡우
 7, 1921,  5,  6, 11,  4
 8, 1921,  5, 22,  0, 17
 9, 1921,  6,  6, 15, 41
10, 1921,  6, 22,  8, 36
11, 1921,  7,  8,  2,  7
12, 1921,  7, 23, 19, 30
13, 1921,  8,  8, 11, 43
14, 1921,  8, 24,  2, 15
15, 1921,  9,  8, 14, 10
16, 1921,  9, 23, 23, 20
17, 1921, 10,  9,  5, 11
18, 1921, 10, 24,  8,  2
19, 1921, 11,  8,  7, 46
20, 1921, 11, 23,  5,  4
21, 1921, 12,  8,  0, 11
22, 1921, 12, 22, 18,  7
23, 1922,  1,  6, 11, 17
24, 1922,  1, 21,  4, 48
 1, 1922,  2,  4, 23,  6
 2, 1922,  2, 19, 19, 16
 3, 1922,  3,  6, 17, 34
 4, 1922,  3, 21, 18, 49
 5, 1922,  4,  5, 22, 58
 6, 1922,  4, 21,  6, 29
 7, 1922,  5,  6, 16, 53
 8, 1922,  5, 22,  6, 10
 9, 1922,  6,  6, 21, 30
10, 1922,  6, 22, 14, 27
11, 1922,  7,  8,  7, 57
12, 1922,  7, 24,  1, 20
13, 1922,  8,  8, 17, 37
14, 1922,  8, 24,  8,  4
15, 1922,  9,  8, 20,  6
16, 1922,  9, 24,  5, 10
17, 1922, 10,  9, 11,  9
18, 1922, 10, 24, 13, 53
19, 1922, 11,  8, 13, 45
20, 1922, 11, 23, 10, 55
21, 1922, 12,  8,  6, 11
22, 1922, 12, 22, 23, 57
23, 1923,  1,  6, 17, 14
24, 1923,  1, 21, 10, 35
 1, 1923,  2,  5,  5,  0
 2, 1923,  2, 20,  1,  0
 3, 1923,  3,  6, 23, 24
 4, 1923,  3, 22,  0, 29
 5, 1923,  4,  6,  4, 46
 6, 1923,  4, 21, 12,  6
 7, 1923,  5,  6, 22, 38
 8, 1923,  5, 22, 11, 45
 9, 1923,  6,  7,  3, 14
10, 1923,  6, 22, 20,  3
11, 1923,  7,  8, 13, 42
12, 1923,  7, 24,  7,  0
13, 1923,  8,  8, 23, 24
14, 1923,  8, 24, 13, 52
15, 1923,  9,  9,  1, 57
16, 1923,  9, 24, 11,  4
17, 1923, 10,  9, 17,  3
18, 1923, 10, 24, 19, 51
19, 1923, 11,  8, 19, 40
20, 1923, 11, 23, 16, 54
21, 1923, 12,  8, 12,  5
22, 1923, 12, 23,  5, 53
23, 1924,  1,  6, 23,  6
24, 1924,  1, 21, 16, 28
 1, 1924,  2,  5, 10, 50
 2, 1924,  2, 20,  6, 51
 3, 1924,  3,  6,  5, 12
 4, 1924,  3, 21,  6, 20
 5, 1924,  4,  5, 10, 33
 6, 1924,  4, 20, 17, 59
 7, 1924,  5,  6,  4, 26
 8, 1924,  5, 21, 17, 40
 9, 1924,  6,  6,  9,  2
10, 1924,  6, 22,  1, 59
11, 1924,  7,  7, 19, 29
12, 1924,  7, 23, 12, 57
13, 1924,  8,  8,  5, 12
14, 1924,  8, 23, 19, 48
15, 1924,  9,  8,  7, 46
16, 1924,  9, 23, 16, 58
17, 1924, 10,  8, 22, 52
18, 1924, 10, 24,  1, 44
19, 1924, 11,  8,  1, 29
20, 1924, 11, 22, 22, 46
21, 1924, 12,  7, 17, 53
22, 1924, 12, 22, 11, 45
23, 1925,  1,  6,  4, 53
24, 1925,  1, 20, 22, 20
 1, 1925,  2,  4, 16, 37
 2, 1925,  2, 19, 12, 43
 3, 1925,  3,  6, 11,  0
 4, 1925,  3, 21, 12, 12
 5, 1925,  4,  5, 16, 22
 6, 1925,  4, 20, 23, 51
 7, 1925,  5,  6, 10, 18
 8, 1925,  5, 21, 23, 33
 9, 1925,  6,  6, 14, 56
10, 1925,  6, 22,  7, 50
11, 1925,  7,  8,  1, 25
12, 1925,  7, 23, 18, 45
13, 1925,  8,  8, 11,  7
14, 1925,  8, 24,  1, 33
15, 1925,  9,  8, 13, 40
16, 1925,  9, 23, 22, 43
17, 1925, 10,  9,  4, 47
18, 1925, 10, 24,  7, 31
19, 1925, 11,  8,  7, 26
20, 1925, 11, 23,  4, 35
21, 1925, 12,  7, 23, 52
22, 1925, 12, 22, 17, 37
23, 1926,  1,  6, 10, 54
24, 1926,  1, 21,  4, 12
 1, 1926,  2,  4, 22, 38
 2, 1926,  2, 19, 18, 35
 3, 1926,  3,  6, 17,  0
 4, 1926,  3, 21, 18,  1
 5, 1926,  4,  5, 22, 18
 6, 1926,  4, 21,  5, 36
 7, 1926,  5,  6, 16,  8
 8, 1926,  5, 22,  5, 14
 9, 1926,  6,  6, 20, 42
10, 1926,  6, 22, 13, 30
11, 1926,  7,  8,  7,  6
12, 1926,  7, 24,  0, 25
13, 1926,  8,  8, 16, 44
14, 1926,  8, 24,  7, 14
15, 1926,  9,  8, 19, 16
16, 1926,  9, 24,  4, 27
17, 1926, 10,  9, 10, 25
18, 1926, 10, 24, 13, 18
19, 1926, 11,  8, 13,  8
20, 1926, 11, 23, 10, 28
21, 1926, 12,  8,  5, 39
22, 1926, 12, 22, 23, 33
23, 1927,  1,  6, 16, 45
24, 1927,  1, 21, 10, 12
 1, 1927,  2,  5,  4, 30
 2, 1927,  2, 20,  0, 34
 3, 1927,  3,  6, 22, 50
 4, 1927,  3, 21, 23, 59
 5, 1927,  4,  6,  4,  6
 6, 1927,  4, 21, 11, 32
 7, 1927,  5,  6, 21, 53
 8, 1927,  5, 22, 11,  8
 9, 1927,  6,  7,  2, 25
10, 1927,  6, 22, 19, 22
11, 1927,  7,  8, 12, 50
12, 1927,  7, 24,  6, 17
13, 1927,  8,  8, 22, 31
14, 1927,  8, 24, 13,  5
15, 1927,  9,  9,  1,  5
16, 1927,  9, 24, 10, 17
17, 1927, 10,  9, 16, 15
18, 1927, 10, 24, 19,  7
19, 1927, 11,  8, 18, 57
20, 1927, 11, 23, 16, 14
21, 1927, 12,  8, 11, 26
22, 1927, 12, 23,  5, 18
23, 1928,  1,  6, 22, 31
24, 1928,  1, 21, 15, 57
 1, 1928,  2,  5, 10, 16
 2, 1928,  2, 20,  6, 19
 3, 1928,  3,  6,  4, 37
 4, 1928,  3, 21,  5, 44
 5, 1928,  4,  5,  9, 55
 6, 1928,  4, 20, 17, 17
 7, 1928,  5,  6,  3, 43
 8, 1928,  5, 21, 16, 52
 9, 1928,  6,  6,  8, 17
10, 1928,  6, 22,  1,  6
11, 1928,  7,  7, 18, 44
12, 1928,  7, 23, 12,  2
13, 1928,  8,  8,  4, 28
14, 1928,  8, 23, 18, 53
15, 1928,  9,  8,  7,  2
16, 1928,  9, 23, 16,  5
17, 1928, 10,  8, 22, 10
18, 1928, 10, 24,  0, 54
19, 1928, 11,  8,  0, 50
20, 1928, 11, 22, 22,  0
21, 1928, 12,  7, 17, 17
22, 1928, 12, 22, 11,  4
23, 1929,  1,  6,  4, 22
24, 1929,  1, 20, 21, 42
 1, 1929,  2,  4, 16,  9
 2, 1929,  2, 19, 12,  7
 3, 1929,  3,  6, 10, 32
 4, 1929,  3, 21, 11, 35
 5, 1929,  4,  5, 15, 51
 6, 1929,  4, 20, 23, 10
 7, 1929,  5,  6,  9, 40
 8, 1929,  5, 21, 22, 48
 9, 1929,  6,  6, 14, 11
10, 1929,  6, 22,  7,  1
11, 1929,  7,  8,  0, 32
12, 1929,  7, 23, 17, 53
13, 1929,  8,  8, 10,  9
14, 1929,  8, 24,  0, 41
15, 1929,  9,  8, 12, 40
16, 1929,  9, 23, 21, 52
17, 1929, 10,  9,  3, 47
18, 1929, 10, 24,  6, 41
19, 1929, 11,  8,  6, 27
20, 1929, 11, 23,  3, 48
21, 1929, 12,  7, 22, 56
22, 1929, 12, 22, 16, 53
23, 1930,  1,  6, 10,  3
24, 1930,  1, 21,  3, 33
 1, 1930,  2,  4, 21, 51
 2, 1930,  2, 19, 18,  0
 3, 1930,  3,  6, 16, 17
 4, 1930,  3, 21, 17, 30
 5, 1930,  4,  5, 21, 37
 6, 1930,  4, 21,  5,  6
 7, 1930,  5,  6, 15, 27
 8, 1930,  5, 22,  4, 42
 9, 1930,  6,  6, 19, 58
10, 1930,  6, 22, 12, 53
11, 1930,  7,  8,  6, 20
12, 1930,  7, 23, 23, 42
13, 1930,  8,  8, 15, 57
14, 1930,  8, 24,  6, 26
15, 1930,  9,  8, 18, 28
16, 1930,  9, 24,  3, 36
17, 1930, 10,  9,  9, 37
18, 1930, 10, 24, 12, 26
19, 1930, 11,  8, 12, 20
20, 1930, 11, 23,  9, 34
21, 1930, 12,  8,  4, 51
22, 1930, 12, 22, 22, 40
23, 1931,  1,  6, 15, 56
24, 1931,  1, 21,  9, 17
 1, 1931,  2,  5,  3, 41
 2, 1931,  2, 19, 23, 40
 3, 1931,  3,  6, 22,  2
 4, 1931,  3, 21, 23,  6
 5, 1931,  4,  6,  3, 20
 6, 1931,  4, 21, 10, 40
 7, 1931,  5,  6, 21, 10
 8, 1931,  5, 22, 10, 15
 9, 1931,  6,  7,  1, 42
10, 1931,  6, 22, 18, 28
11, 1931,  7,  8, 12,  6
12, 1931,  7, 24,  5, 21
13, 1931,  8,  8, 21, 45
14, 1931,  8, 24, 12, 10
15, 1931,  9,  9,  0, 17
16, 1931,  9, 24,  9, 23
17, 1931, 10,  9, 15, 27
18, 1931, 10, 24, 18, 15
19, 1931, 11,  8, 18, 10
20, 1931, 11, 23, 15, 25
21, 1931, 12,  8, 10, 40
22, 1931, 12, 23,  4, 30
23, 1932,  1,  6, 21, 45
24, 1932,  1, 21, 15,  7
 1, 1932,  2,  5,  9, 29
 2, 1932,  2, 20,  5, 28
 3, 1932,  3,  6,  3, 49
 4, 1932,  3, 21,  4, 54
 5, 1932,  4,  5,  9,  6
 6, 1932,  4, 20, 16, 28
 7, 1932,  5,  6,  2, 55
 8, 1932,  5, 21, 16,  7
 9, 1932,  6,  6,  7, 28
10, 1932,  6, 22,  0, 23
11, 1932,  7,  7, 17, 52
12, 1932,  7, 23, 11, 18
13, 1932,  8,  8,  3, 32
14, 1932,  8, 23, 18,  6
15, 1932,  9,  8,  6,  3
16, 1932,  9, 23, 15, 16
17, 1932, 10,  8, 21, 10
18, 1932, 10, 24,  0,  4
19, 1932, 11,  7, 23, 50
20, 1932, 11, 22, 21, 10
21, 1932, 12,  7, 16, 18
22, 1932, 12, 22, 10, 14
23, 1933,  1,  6,  3, 23
24, 1933,  1, 20, 20, 53
 1, 1933,  2,  4, 15,  9
 2, 1933,  2, 19, 11, 16
 3, 1933,  3,  6,  9, 31
 4, 1933,  3, 21, 10, 43
 5, 1933,  4,  5, 14, 50
 6, 1933,  4, 20, 22, 18
 7, 1933,  5,  6,  8, 42
 8, 1933,  5, 21, 21, 57
 9, 1933,  6,  6, 13, 17
10, 1933,  6, 22,  6, 12
11, 1933,  7,  7, 23, 44
12, 1933,  7, 23, 17,  5
13, 1933,  8,  8,  9, 26
14, 1933,  8, 23, 23, 52
15, 1933,  9,  8, 11, 57
16, 1933,  9, 23, 21,  1
17, 1933, 10,  9,  3,  4
18, 1933, 10, 24,  5, 48
19, 1933, 11,  8,  5, 43
20, 1933, 11, 23,  2, 53
21, 1933, 12,  7, 22, 11
22, 1933, 12, 22, 15, 57
23, 1934,  1,  6,  9, 16
24, 1934,  1, 21,  2, 37
 1, 1934,  2,  4, 21,  4
 2, 1934,  2, 19, 17,  2
 3, 1934,  3,  6, 15, 26
 4, 1934,  3, 21, 16, 28
 5, 1934,  4,  5, 20, 44
 6, 1934,  4, 21,  4,  0
 7, 1934,  5,  6, 14, 31
 8, 1934,  5, 22,  3, 35
 9, 1934,  6,  6, 19,  1
10, 1934,  6, 22, 11, 48
11, 1934,  7,  8,  5, 24
12, 1934,  7, 23, 22, 42
13, 1934,  8,  8, 15,  4
14, 1934,  8, 24,  5, 32
15, 1934,  9,  8, 17, 36
16, 1934,  9, 24,  2, 45
17, 1934, 10,  9,  8, 45
18, 1934, 10, 24, 11, 36
19, 1934, 11,  8, 11, 27
20, 1934, 11, 23,  8, 44
21, 1934, 12,  8,  3, 57
22, 1934, 12, 22, 21, 49
23, 1935,  1,  6, 15,  2
24, 1935,  1, 21,  8, 28
 1, 1935,  2,  5,  2, 49
 2, 1935,  2, 19, 22, 52
 3, 1935,  3,  6, 21, 10
 4, 1935,  3, 21, 22, 18
 5, 1935,  4,  6,  2, 26
 6, 1935,  4, 21,  9, 50
 7, 1935,  5,  6, 20, 12
 8, 1935,  5, 22,  9, 25
 9, 1935,  6,  7,  0, 42
10, 1935,  6, 22, 17, 38
11, 1935,  7,  8, 11,  6
12, 1935,  7, 24,  4, 33
13, 1935,  8,  8, 20, 48
14, 1935,  8, 24, 11, 24
15, 1935,  9,  8, 23, 24
16, 1935,  9, 24,  8, 38
17, 1935, 10,  9, 14, 36
18, 1935, 10, 24, 17, 29
19, 1935, 11,  8, 17, 18
20, 1935, 11, 23, 14, 35
21, 1935, 12,  8,  9, 45
22, 1935, 12, 23,  3, 37
23, 1936,  1,  6, 20, 47
24, 1936,  1, 21, 14, 12
 1, 1936,  2,  5,  8, 29
 2, 1936,  2, 20,  4, 33
 3, 1936,  3,  6,  2, 49
 4, 1936,  3, 21,  3, 58
 5, 1936,  4,  5,  8,  7
 6, 1936,  4, 20, 15, 31
 7, 1936,  5,  6,  1, 56
 8, 1936,  5, 21, 15,  7
 9, 1936,  6,  6,  6, 31
10, 1936,  6, 21, 23, 22
11, 1936,  7,  7, 16, 58
12, 1936,  7, 23, 10, 18
13, 1936,  8,  8,  2, 43
14, 1936,  8, 23, 17, 10
15, 1936,  9,  8,  5, 21
16, 1936,  9, 23, 14, 26
17, 1936, 10,  8, 20, 32
18, 1936, 10, 23, 23, 18
19, 1936, 11,  7, 23, 15
20, 1936, 11, 22, 20, 25
21, 1936, 12,  7, 15, 42
22, 1936, 12, 22,  9, 27
23, 1937,  1,  6,  2, 44
24, 1937,  1, 20, 20,  1
 1, 1937,  2,  4, 14, 26
 2, 1937,  2, 19, 10, 21
 3, 1937,  3,  6,  8, 44
 4, 1937,  3, 21,  9, 45
 5, 1937,  4,  5, 14,  1
 6, 1937,  4, 20, 21, 19
 7, 1937,  5,  6,  7, 51
 8, 1937,  5, 21, 20, 57
 9, 1937,  6,  6, 12, 23
10, 1937,  6, 22,  5, 12
11, 1937,  7,  7, 22, 46
12, 1937,  7, 23, 16,  7
13, 1937,  8,  8,  8, 25
14, 1937,  8, 23, 22, 58
15, 1937,  9,  8, 10, 59
16, 1937,  9, 23, 20, 13
17, 1937, 10,  9,  2, 11
18, 1937, 10, 24,  5,  6
19, 1937, 11,  8,  4, 55
20, 1937, 11, 23,  2, 16
21, 1937, 12,  7, 21, 26
22, 1937, 12, 22, 15, 22
23, 1938,  1,  6,  8, 31
24, 1938,  1, 21,  1, 59
 1, 1938,  2,  4, 20, 15
 2, 1938,  2, 19, 16, 20
 3, 1938,  3,  6, 14, 34
 4, 1938,  3, 21, 15, 43
 5, 1938,  4,  5, 19, 49
 6, 1938,  4, 21,  3, 15
 7, 1938,  5,  6, 13, 35
 8, 1938,  5, 22,  2, 50
 9, 1938,  6,  6, 18,  7
10, 1938,  6, 22, 11,  4
11, 1938,  7,  8,  4, 31
12, 1938,  7, 23, 21, 57
13, 1938,  8,  8, 14, 13
14, 1938,  8, 24,  4, 46
15, 1938,  9,  8, 16, 48
16, 1938,  9, 24,  1, 59
17, 1938, 10,  9,  8,  1
18, 1938, 10, 24, 10, 54
19, 1938, 11,  8, 10, 48
20, 1938, 11, 23,  8,  6
21, 1938, 12,  8,  3, 22
22, 1938, 12, 22, 21, 13
23, 1939,  1,  6, 14, 28
24, 1939,  1, 21,  7, 51
 1, 1939,  2,  5,  2, 10
 2, 1939,  2, 19, 22,  9
 3, 1939,  3,  6, 20, 26
 4, 1939,  3, 21, 21, 28
 5, 1939,  4,  6,  1, 37
 6, 1939,  4, 21,  8, 55
 7, 1939,  5,  6, 19, 21
 8, 1939,  5, 22,  8, 27
 9, 1939,  6,  6, 23, 52
10, 1939,  6, 22, 16, 39
11, 1939,  7,  8, 10, 18
12, 1939,  7, 24,  3, 37
13, 1939,  8,  8, 20,  3
14, 1939,  8, 24, 10, 31
15, 1939,  9,  8, 22, 42
16, 1939,  9, 24,  7, 49
17, 1939, 10,  9, 13, 57
18, 1939, 10, 24, 16, 46
19, 1939, 11,  8, 16, 44
20, 1939, 11, 23, 13, 58
21, 1939, 12,  8,  9, 17
22, 1939, 12, 23,  3,  6
23, 1940,  1,  6, 20, 24
24, 1940,  1, 21, 13, 44
 1, 1940,  2,  5,  8,  8
 2, 1940,  2, 20,  4,  4
 3, 1940,  3,  6,  2, 24
 4, 1940,  3, 21,  3, 24
 5, 1940,  4,  5,  7, 35
 6, 1940,  4, 20, 14, 51
 7, 1940,  5,  6,  1, 16
 8, 1940,  5, 21, 14, 23
 9, 1940,  6,  6,  5, 44
10, 1940,  6, 21, 22, 36
11, 1940,  7,  7, 16,  8
12, 1940,  7, 23,  9, 34
13, 1940,  8,  8,  1, 51
14, 1940,  8, 23, 16, 29
15, 1940,  9,  8,  4, 29
16, 1940,  9, 23, 13, 46
17, 1940, 10,  8, 19, 42
18, 1940, 10, 23, 22, 39
19, 1940, 11,  7, 22, 27
20, 1940, 11, 22, 19, 49
21, 1940, 12,  7, 14, 58
22, 1940, 12, 22,  8, 55
23, 1941,  1,  6,  2,  4
24, 1941,  1, 20, 19, 34
 1, 1941,  2,  4, 13, 50
 2, 1941,  2, 19,  9, 56
 3, 1941,  3,  6,  8, 10
 4, 1941,  3, 21,  9, 20
 5, 1941,  4,  5, 13, 25
 6, 1941,  4, 20, 20, 50
 7, 1941,  5,  6,  7, 10
 8, 1941,  5, 21, 20, 23
 9, 1941,  6,  6, 11, 39
10, 1941,  6, 22,  4, 33
11, 1941,  7,  7, 22,  3
12, 1941,  7, 23, 15, 26
13, 1941,  8,  8,  7, 46
14, 1941,  8, 23, 22, 17
15, 1941,  9,  8, 10, 24
16, 1941,  9, 23, 19, 33
17, 1941, 10,  9,  1, 38
18, 1941, 10, 24,  4, 27
19, 1941, 11,  8,  4, 24
20, 1941, 11, 23,  1, 38
21, 1941, 12,  7, 20, 56
22, 1941, 12, 22, 14, 44
23, 1942,  1,  6,  8,  2
24, 1942,  1, 21,  1, 23
 1, 1942,  2,  4, 19, 49
 2, 1942,  2, 19, 15, 47
 3, 1942,  3,  6, 14,  9
 4, 1942,  3, 21, 15, 11
 5, 1942,  4,  5, 19, 24
 6, 1942,  4, 21,  2, 39
 7, 1942,  5,  6, 13,  7
 8, 1942,  5, 22,  2,  9
 9, 1942,  6,  6, 17, 33
10, 1942,  6, 22, 10, 16
11, 1942,  7,  8,  3, 52
12, 1942,  7, 23, 21,  7
13, 1942,  8,  8, 13, 30
14, 1942,  8, 24,  3, 58
15, 1942,  9,  8, 16,  6
16, 1942,  9, 24,  1, 16
17, 1942, 10,  9,  7, 22
18, 1942, 10, 24, 10, 15
19, 1942, 11,  8, 10, 11
20, 1942, 11, 23,  7, 30
21, 1942, 12,  8,  2, 47
22, 1942, 12, 22, 20, 40
23, 1943,  1,  6, 13, 55
24, 1943,  1, 21,  7, 19
 1, 1943,  2,  5,  1, 40
 2, 1943,  2, 19, 21, 40
 3, 1943,  3,  6, 19, 59
 4, 1943,  3, 21, 21,  3
 5, 1943,  4,  6,  1, 11
 6, 1943,  4, 21,  8, 31
 7, 1943,  5,  6, 18, 53
 8, 1943,  5, 22,  8,  3
 9, 1943,  6,  6, 23, 19
10, 1943,  6, 22, 16, 12
11, 1943,  7,  8,  9, 39
12, 1943,  7, 24,  3,  5
13, 1943,  8,  8, 19, 19
14, 1943,  8, 24,  9, 55
15, 1943,  9,  8, 21, 55
16, 1943,  9, 24,  7, 12
17, 1943, 10,  9, 13, 10
18, 1943, 10, 24, 16,  8
19, 1943, 11,  8, 15, 59
20, 1943, 11, 23, 13, 21
21, 1943, 12,  8,  8, 33
22, 1943, 12, 23,  2, 29
23, 1944,  1,  6, 19, 39
24, 1944,  1, 21, 13,  7
 1, 1944,  2,  5,  7, 23
 2, 1944,  2, 20,  3, 27
 3, 1944,  3,  6,  1, 40
 4, 1944,  3, 21,  2, 49
 5, 1944,  4,  5,  6, 54
 6, 1944,  4, 20, 14, 18
 7, 1944,  5,  6,  0, 40
 8, 1944,  5, 21, 13, 51
 9, 1944,  6,  6,  5, 11
10, 1944,  6, 21, 22,  2
11, 1944,  7,  7, 15, 36
12, 1944,  7, 23,  8, 56
13, 1944,  8,  8,  1, 19
14, 1944,  8, 23, 15, 46
15, 1944,  9,  8,  3, 56
16, 1944,  9, 23, 13,  2
17, 1944, 10,  8, 19,  9
18, 1944, 10, 23, 21, 56
19, 1944, 11,  7, 21, 55
20, 1944, 11, 22, 19,  8
21, 1944, 12,  7, 14, 28
22, 1944, 12, 22,  8, 15
23, 1945,  1,  6,  1, 34
24, 1945,  1, 20, 18, 54
 1, 1945,  2,  4, 13, 19
 2, 1945,  2, 19,  9, 15
 3, 1945,  3,  6,  7, 38
 4, 1945,  3, 21,  8, 37
 5, 1945,  4,  5, 12, 52
 6, 1945,  4, 20, 20,  7
 7, 1945,  5,  6,  6, 37
 8, 1945,  5, 21, 19, 40
 9, 1945,  6,  6, 11,  5
10, 1945,  6, 22,  3, 52
11, 1945,  7,  7, 21, 27
12, 1945,  7, 23, 14, 45
13, 1945,  8,  8,  7,  5
14, 1945,  8, 23, 21, 35
15, 1945,  9,  8,  9, 38
16, 1945,  9, 23, 18, 50
17, 1945, 10,  9,  0, 49
18, 1945, 10, 24,  3, 44
19, 1945, 11,  8,  3, 34
20, 1945, 11, 23,  0, 55
21, 1945, 12,  7, 20,  8
22, 1945, 12, 22, 14,  4
23, 1946,  1,  6,  7, 16
24, 1946,  1, 21,  0, 45
 1, 1946,  2,  4, 19,  4
 2, 1946,  2, 19, 15,  9
 3, 1946,  3,  6, 13, 25
 4, 1946,  3, 21, 14, 33
 5, 1946,  4,  5, 18, 39
 6, 1946,  4, 21,  2,  2
 7, 1946,  5,  6, 12, 21
 8, 1946,  5, 22,  1, 34
 9, 1946,  6,  6, 16, 49
10, 1946,  6, 22,  9, 44
11, 1946,  7,  8,  3, 11
12, 1946,  7, 23, 20, 37
13, 1946,  8,  8, 12, 52
14, 1946,  8, 24,  3, 26
15, 1946,  9,  8, 15, 27
16, 1946,  9, 24,  0, 41
17, 1946, 10,  9,  6, 41
18, 1946, 10, 24,  9, 35
19, 1946, 11,  8,  9, 27
20, 1946, 11, 23,  6, 46
21, 1946, 12,  8,  2,  0
22, 1946, 12, 22, 19, 53
23, 1947,  1,  6, 13,  6
24, 1947,  1, 21,  6, 31
 1, 1947,  2,  5,  0, 50
 2, 1947,  2, 19, 20, 52
 3, 1947,  3,  6, 19,  8
 4, 1947,  3, 21, 20, 13
 5, 1947,  4,  6,  0, 20
 6, 1947,  4, 21,  7, 39
 7, 1947,  5,  6, 18,  3
 8, 1947,  5, 22,  7,  9
 9, 1947,  6,  6, 22, 31
10, 1947,  6, 22, 15, 19
11, 1947,  7,  8,  8, 56
12, 1947,  7, 24,  2, 14
13, 1947,  8,  8, 18, 41
14, 1947,  8, 24,  9,  9
15, 1947,  9,  8, 21, 21
16, 1947,  9, 24,  6, 29
17, 1947, 10,  9, 12, 37
18, 1947, 10, 24, 15, 26
19, 1947, 11,  8, 15, 24
20, 1947, 11, 23, 12, 38
21, 1947, 12,  8,  7, 56
22, 1947, 12, 23,  1, 43
23, 1948,  1,  6, 19,  0
24, 1948,  1, 21, 12, 18
 1, 1948,  2,  5,  6, 42
 2, 1948,  2, 20,  2, 37
 3, 1948,  3,  6,  0, 58
 4, 1948,  3, 21,  1, 57
 5, 1948,  4,  5,  6,  9
 6, 1948,  4, 20, 13, 25
 7, 1948,  5,  5, 23, 52
 8, 1948,  5, 21, 12, 58
 9, 1948,  6,  6,  4, 20
10, 1948,  6, 21, 21, 11
11, 1948,  7,  7, 14, 44
12, 1948,  7, 23,  8,  7
13, 1948,  8,  8,  0, 26
14, 1948,  8, 23, 15,  3
15, 1948,  9,  8,  3,  5
16, 1948,  9, 23, 12, 22
17, 1948, 10,  8, 18, 20
18, 1948, 10, 23, 21, 18
19, 1948, 11,  7, 21,  7
20, 1948, 11, 22, 18, 29
21, 1948, 12,  7, 13, 38
22, 1948, 12, 22,  7, 33
23, 1949,  1,  6,  0, 41
24, 1949,  1, 20, 18,  9
 1, 1949,  2,  4, 12, 23
 2, 1949,  2, 19,  8, 27
 3, 1949,  3,  6,  6, 39
 4, 1949,  3, 21,  7, 48
 5, 1949,  4,  5, 11, 52
 6, 1949,  4, 20, 19, 17
 7, 1949,  5,  6,  5, 37
 8, 1949,  5, 21, 18, 51
 9, 1949,  6,  6, 10,  7
10, 1949,  6, 22,  3,  3
11, 1949,  7,  7, 20, 32
